url,experimental_time_to_first_byte_p75,experimental_time_to_first_byte_good_density,experimental_time_to_first_byte_needs_improvement_density,experimental_time_to_first_byte_poor_density,first_contentful_paint_p75,first_contentful_paint_good_density,first_contentful_paint_needs_improvement_density,first_contentful_paint_poor_density,largest_contentful_paint_p75,largest_contentful_paint_good_density,largest_contentful_paint_needs_improvement_density,largest_contentful_paint_poor_density,cumulative_layout_shift_p75,cumulative_layout_shift_good_density,cumulative_layout_shift_needs_improvement_density,cumulative_layout_shift_poor_density,interaction_to_next_paint_p75,interaction_to_next_paint_good_density,interaction_to_next_paint_needs_improvement_density,interaction_to_next_paint_poor_density
https://www.nps.gov/wamo/planyourvisit/fees.htm,275,0.9342,0.043,0.0228,761,0.9355,0.0373,0.0272,912,0.9544,0.0254,0.0202,0.04,0.9831,0.0096,0.0072,80,0.9826,0.0128,0.0046
https://www.nps.gov/grsm/planyourvisit/maps.htm,187,0.9576,0.0245,0.0178,581,0.9547,0.0235,0.0218,628,0.9662,0.018,0.0158,0.22,0.5173,0.3464,0.1363,104,0.922,0.0605,0.0175
https://www.nps.gov/zion/planyourvisit/conditions.htm,224,0.9491,0.0296,0.0213,527,0.9615,0.0206,0.0179,634,0.9732,0.013,0.0137,0.04,0.8029,0.144,0.0531,62,0.9877,0.0102,0.0021
https://www.nps.gov/media/photo/collection.htm,180,0.9379,0.0309,0.0313,502,0.9508,0.0205,0.0288,649,0.9676,0.0141,0.0183,0.04,0.7574,0.0107,0.2318,69,0.9742,0.0191,0.0068
https://www.nps.gov/grca/planyourvisit/fees.htm,334,0.9106,0.0536,0.0358,1021,0.8921,0.0583,0.0496,1201,0.9203,0.0439,0.0358,0.20,0.5825,0.2963,0.1212,88,0.9679,0.0217,0.0104
https://www.nps.gov/arch/index.htm,464,0.8733,0.0809,0.0458,1050,0.8919,0.054,0.0542,1448,0.8929,0.0591,0.048,0.01,0.9021,0.0887,0.0092,88,0.9605,0.0321,0.0074
https://www.nps.gov/acad/planyourvisit/vehicle_reservations.htm,344,0.904,0.0415,0.0545,807,0.9204,0.0298,0.0498,1004,0.9352,0.0268,0.038,0.20,0.5809,0.3193,0.0998,80,0.9741,0.0181,0.0078
https://www.nps.gov/media/multimedia-search.htm,153,0.9511,0.0286,0.0203,369,0.9672,0.0177,0.0151,605,0.9722,0.0169,0.0109,0.08,0.756,0.0319,0.2122,101,0.9383,0.0443,0.0174
https://www.nps.gov/civilwar/search-battle-units.htm,280,0.9628,0.0235,0.0137,600,0.9736,0.0132,0.0132,603,0.9821,0.0102,0.0076,0.08,0.752,0.0677,0.1804,130,0.8775,0.0897,0.0328
https://www.nps.gov/aboutus/workwithus.htm,259,0.9454,0.0334,0.0212,768,0.9417,0.0347,0.0236,1008,0.9516,0.0281,0.0203,0.00,0.9915,0.0058,0.0028,86,0.9781,0.0164,0.0055
https://www.nps.gov/moru/index.htm,523,0.8562,0.094,0.0499,1144,0.8753,0.0722,0.0525,1505,0.8911,0.0624,0.0465,0.00,0.9942,0.0043,0.0015,98,0.9334,0.052,0.0146
https://www.nps.gov/yell/planyourvisit/geyser-activity.htm,758,0.7604,0.1257,0.1138,1467,0.802,0.0862,0.1119,1973,0.8195,0.0824,0.098,0.20,0.5648,0.3476,0.0875,80,0.958,0.024,0.0181
https://www.nps.gov/yose/planyourvisit/fees.htm,363,0.9099,0.0555,0.0345,933,0.9095,0.0513,0.0392,1108,0.9314,0.0405,0.0282,0.21,0.5156,0.3271,0.1573,96,0.9571,0.0362,0.0066
https://www.nps.gov/yell/planyourvisit/fees.htm,342,0.9154,0.0538,0.0308,940,0.9098,0.0499,0.0403,1145,0.9315,0.0377,0.0309,0.21,0.5464,0.2908,0.1628,103,0.9241,0.0591,0.0169
https://www.nps.gov/flni/index.htm,476,0.8856,0.0752,0.0393,1035,0.9017,0.0612,0.0372,1466,0.9113,0.0524,0.0363,0.01,0.8803,0.1109,0.0088,102,0.9378,0.0515,0.0106
https://www.nps.gov/havo/index.htm,504,0.8824,0.0831,0.0345,1057,0.9065,0.0537,0.0398,1475,0.9056,0.054,0.0403,0.11,0.6872,0.28,0.0328,88,0.9669,0.027,0.006
https://www.nps.gov/jotr/index.htm,388,0.8931,0.0703,0.0365,956,0.9026,0.0587,0.0388,1383,0.9023,0.0567,0.0409,0.10,0.7062,0.2622,0.0316,96,0.9539,0.0372,0.0089
https://www.nps.gov/romo/learn/photosmultimedia/webcams.htm,263,0.9509,0.0361,0.013,636,0.961,0.0247,0.0143,1086,0.9442,0.0379,0.0179,0.11,0.7432,0.1995,0.0572,54,0.9862,0.0091,0.0047
https://www.nps.gov/brca/index.htm,398,0.8862,0.0705,0.0433,1020,0.8936,0.0577,0.0487,1480,0.8914,0.0557,0.0529,0.07,0.82,0.1578,0.0222,95,0.9562,0.0343,0.0095
https://www.nps.gov/grsm/planyourvisit/fees.htm,312,0.9285,0.0401,0.0314,1020,0.9015,0.049,0.0496,1175,0.9285,0.037,0.0345,0.26,0.5001,0.2263,0.2735,98,0.9255,0.0498,0.0247
https://www.nps.gov/alca/planyourvisit/fees.htm,325,0.9134,0.0587,0.0279,844,0.9188,0.0501,0.0311,1054,0.9382,0.0372,0.0246,0.04,0.983,0.0155,0.0015,118,0.9506,0.0432,0.0062
https://www.nps.gov/grte/index.htm,427,0.8811,0.0732,0.0458,1011,0.8922,0.0584,0.0494,1432,0.8978,0.0565,0.0457,0.08,0.7885,0.1922,0.0193,93,0.9615,0.0299,0.0086
https://www.nps.gov/seki/planyourvisit/conditions.htm,198,0.9518,0.0272,0.021,641,0.9532,0.0229,0.0238,718,0.9707,0.0156,0.0137,0.07,0.7868,0.1348,0.0784,87,0.9388,0.04,0.0213
https://www.nps.gov/perl/index.htm,558,0.8593,0.1023,0.0384,1097,0.9044,0.0577,0.0379,1446,0.909,0.0544,0.0366,0.00,0.9962,0.0027,0.0011,79,0.98,0.0139,0.0061
https://www.nps.gov/jame/learn/historyculture/a-short-history-of-jamestown.htm,490,0.9129,0.0658,0.0213,1352,0.8853,0.0765,0.0382,1508,0.9384,0.0337,0.0279,0.23,0.4777,0.3026,0.2196,87,0.8924,0.0452,0.0624
https://www.nps.gov/yose/planyourvisit/camping.htm,201,0.9539,0.0255,0.0207,518,0.9627,0.019,0.0183,571,0.9728,0.0135,0.0137,0.13,0.7276,0.2451,0.0272,62,0.9912,0.0072,0.0017
https://www.nps.gov/cave/index.htm,401,0.9121,0.0537,0.0342,973,0.9145,0.0445,0.041,1359,0.9155,0.0502,0.0343,0.00,0.9946,0.0044,0.001,96,0.9517,0.0376,0.0107
https://www.nps.gov/common/utilities/sendmail/sendemail.cfm,696,0.8654,0.1054,0.0292,1217,0.9208,0.0588,0.0204,1216,0.9593,0.0206,0.0201,0.00,1,0,0,,,,
https://www.nps.gov/crla/index.htm,442,0.8786,0.0703,0.0511,997,0.8943,0.0547,0.051,1445,0.8954,0.0552,0.0493,0.11,0.6686,0.2695,0.0619,92,0.9574,0.0332,0.0094
https://www.nps.gov/media/webcam/view.htm,196,0.951,0.0307,0.0183,594,0.9594,0.0204,0.0202,774,0.966,0.0183,0.0158,0.00,0.9434,0.049,0.0076,55,0.9684,0.0189,0.0126
https://www.nps.gov/index.htm,431,0.8842,0.0794,0.0364,980,0.898,0.0605,0.0415,1327,0.9036,0.0577,0.0387,0.00,0.983,0.0115,0.0055,96,0.9495,0.0403,0.0102
https://www.nps.gov/planyourvisit/pickup-pass-locations.htm,731,0.7904,0.1771,0.0325,1077,0.9225,0.0511,0.0264,1158,0.9578,0.025,0.0172,0.00,0.8535,0.0177,0.1288,120,0.9207,0.0682,0.0111
https://www.nps.gov/yell/index.htm,475,0.8614,0.0831,0.0555,1157,0.871,0.0688,0.0602,1623,0.8773,0.0685,0.0542,0.11,0.6638,0.2931,0.0431,104,0.9242,0.0598,0.016
https://www.nps.gov/grsm/planyourvisit/conditions.htm,164,0.9624,0.0234,0.0142,557,0.9618,0.0198,0.0184,582,0.977,0.011,0.012,0.08,0.7592,0.13,0.1108,77,0.9661,0.0244,0.0095
https://www.nps.gov/civilwar/search-soldiers.htm,300,0.9362,0.0418,0.022,573,0.9608,0.0217,0.0176,642,0.9738,0.0127,0.0135,0.05,0.8066,0.0575,0.1359,144,0.8518,0.1167,0.0315
https://www.nps.gov/media/photo/gallery.htm,363,0.9327,0.0485,0.0187,707,0.9578,0.0224,0.0198,845,0.9688,0.0169,0.0144,0.00,0.82,0.0082,0.1717,67,0.9675,0.0225,0.01
https://www.nps.gov/aboutus/entrance-fee-prices.htm,239,0.9369,0.029,0.0341,631,0.9371,0.0268,0.036,805,0.9508,0.0226,0.0267,0.00,0.9162,0.019,0.0648,172,0.8286,0.1504,0.021
